uri,title,terms,term_types
/subjects/39620,Jews -- Denmark -- Politics and government,Jews;Denmark;Politics and government,topical;geographic;topical
/subjects/38932,Radulʹ (Ukraine),Radulʹ (Ukraine),geographic
/subjects/28031,Kalush (Ukraine),Kalush (Ukraine),geographic
/subjects/32715,Pukovo (Belarus),Pukovo (Belarus),geographic
/subjects/29509,Ouderkerk aan de Amstel (Netherlands),Ouderkerk aan de Amstel (Netherlands),geographic
/subjects/35480,Tours (France),Tours (France),geographic
/subjects/26756,Jablonec nad Jizerou (Czech Republic),Jablonec nad Jizerou (Czech Republic),geographic
/subjects/29159,"Prussia, East (Poland and Russia)","Prussia, East (Poland and Russia)",geographic
/subjects/37147,Deutsch Eylau (Germany),Deutsch Eylau (Germany),geographic
/subjects/30682,La Bourboule (France),La Bourboule (France),geographic
/subjects/31139,Gerolzhofen (Germany),Gerolzhofen (Germany),geographic
/subjects/33104,Seredyna-Buda (Ukraine),Seredyna-Buda (Ukraine),geographic
/subjects/36306,Jews -- Ukraine -- Hvizdet︠s︡ʹ,Jews;Ukraine;Hvizdet︠s︡ʹ,topical;geographic;geographic
/subjects/41391,Gumbinnen (Germany),Gumbinnen (Germany),geographic
/subjects/40979,Drobin (Poland),Drobin (Poland),geographic
/subjects/37844,"Memmelsdorf (Bamberg, Germany)","Memmelsdorf (Bamberg, Germany)",geographic
/subjects/23942,Zaklików (Poland),Zaklików (Poland),geographic
/subjects/31586,Beaulieu-sur-Loire (France),Beaulieu-sur-Loire (France),geographic
/subjects/33041,"Satu Mare (Harghita, Romania)","Satu Mare (Harghita, Romania)",geographic
/subjects/40996,Zakopane (Poland),Zakopane (Poland),geographic
/subjects/32650,Nauplion (Greece),Nauplion (Greece),geographic
/subjects/40095,Kozova (Ukraine),Kozova (Ukraine),geographic
/subjects/23411,Ries (Germany),Ries (Germany),geographic
/subjects/37002,"Bradford (West Yorkshire, England)","Bradford (West Yorkshire, England)",geographic
/subjects/32200,Skarżysko-Kamienna (Poland),Skarżysko-Kamienna (Poland),geographic
/subjects/26404,Lastovce (Slovakia),Lastovce (Slovakia),geographic
/subjects/40328,Gérardmer (France),Gérardmer (France),geographic
/subjects/35228,"Opatija (Primorsko-goranska županija, Croatia)","Opatija (Primorsko-goranska županija, Croatia)",geographic
/subjects/37215,"Songs, Yiddish","Songs, Yiddish",topical
/subjects/32447,Jewish singers,Jewish singers,topical
/subjects/26054,"World War, 1939-1945 -- Prisoners and prisons, Bulgarian","World War, 1939-1945;Prisoners and prisons, Bulgarian",topical;topical
/subjects/23256,Morshansk (Russia),Morshansk (Russia),geographic
/subjects/28949,Krompachy (Slovakia),Krompachy (Slovakia),geographic
/subjects/37645,Zdolbuniv (Ukraine),Zdolbuniv (Ukraine),geographic
/subjects/36957,Tîrgu-Lăpuș (Romania),Tîrgu-Lăpuș (Romania),geographic
/subjects/32914,Jews -- Poland -- Social conditions,Jews;Poland;Social conditions,topical;geographic;topical
/subjects/41539,Durmitor (Montenegro),Durmitor (Montenegro),geographic
/subjects/34593,War crime trials -- Slovakia,War crime trials;Slovakia,topical;geographic
/subjects/25382,Surynty (Belarus),Surynty (Belarus),geographic
/subjects/34069,Kalyshki (Belarus),Kalyshki (Belarus),geographic
/subjects/31791,Łabiszyn (Poland),Łabiszyn (Poland),geographic
/subjects/30883,Rajecké Teplice (Slovakia),Rajecké Teplice (Slovakia),geographic
/subjects/33743,Bondy (France),Bondy (France),geographic
/subjects/26812,Musicians,Musicians,topical
/subjects/23743,Teachers,Teachers,occupation
/subjects/30495,"Nordhausen (Thuringia, Germany)","Nordhausen (Thuringia, Germany)",geographic
/subjects/32152,"Türkheim (Bavaria, Germany)","Türkheim (Bavaria, Germany)",geographic
/subjects/34985,Dursley (England),Dursley (England),geographic
/subjects/23313,Hermagor (Austria),Hermagor (Austria),geographic
/subjects/37700,Kleve (Germany : Kreis),Kleve (Germany : Kreis),geographic
/subjects/39437,Bereg (Hungary),Bereg (Hungary),geographic
/subjects/25414,Goworowo (Poland),Goworowo (Poland),geographic
/subjects/36668,Dar es Salaam (Tanzania),Dar es Salaam (Tanzania),geographic
/subjects/27583,Pápa (Hungary),Pápa (Hungary),geographic
/subjects/39067,Bristol (England),Bristol (England),geographic
/subjects/36392,Barbizon (France),Barbizon (France),geographic
/subjects/40514,Ekaterinburg (Russia),Ekaterinburg (Russia),geographic
/subjects/31904,Pegnitz (Germany),Pegnitz (Germany),geographic
/subjects/30616,Jews -- Poland -- Staszów (Województwo Świętokrzyskie),Jews;Poland;Staszów (Województwo Świętokrzyskie),topical;geographic;geographic
/subjects/33893,Odesa (Ukraine),Odesa (Ukraine),geographic
/subjects/35044,Staňkov (Czech Republic),Staňkov (Czech Republic),geographic
/subjects/40144,Orzhitsa (Ukraine),Orzhitsa (Ukraine),geographic
/subjects/24655,Warsaw (Poland) -- History -- Uprising of 1944,Warsaw (Poland);History;Uprising of 1944,geographic;topical;temporal
/subjects/39964,Oosterbeek (Netherlands),Oosterbeek (Netherlands),geographic
/subjects/23190,Concentration camp commandants,Concentration camp commandants,topical
/subjects/30246,"World War, 1939-1945 -- Participation, Dutch","World War, 1939-1945;Participation, Dutch",topical;topical
/subjects/38363,Theater in concentration camps,Theater in concentration camps,topical
/subjects/37096,Nagykanizsa (Hungary),Nagykanizsa (Hungary),geographic
/subjects/38733,Prisons -- France,Prisons;France,topical;geographic
/subjects/29122,"Nieder Ohmen (Mücke, Germany)","Nieder Ohmen (Mücke, Germany)",geographic
/subjects/37995,Borås (Sweden),Borås (Sweden),geographic
/subjects/29821,Alzey (Germany),Alzey (Germany),geographic
/subjects/40902,Hague (Netherlands),Hague (Netherlands),geographic
/subjects/33201,Vasil'kovtsy (Ukraine),Vasil'kovtsy (Ukraine),geographic
/subjects/27242,Kállósemjén (Hungary),Kállósemjén (Hungary),geographic
/subjects/41094,Karlsruhe (Germany),Karlsruhe (Germany),geographic
/subjects/32410,Berck-sur-Mer (France),Berck-sur-Mer (France),geographic
/subjects/26003,Tlumach (Ukraine),Tlumach (Ukraine),geographic
/subjects/30587,Monor (Hungary),Monor (Hungary),geographic
/subjects/32040,Involuntary sterilization -- Germany,Involuntary sterilization;Germany,topical;geographic
/subjects/35785,Tarashcha (Ukraine),Tarashcha (Ukraine),geographic
/subjects/26453,Remse (Germany),Remse (Germany),geographic
/subjects/30568,Soviet Union -- History -- 1939-1945,Soviet Union;History;1939-1945,geographic;topical;temporal
/subjects/35290,Monschau (Germany),Monschau (Germany),geographic
/subjects/32555,Niz︠h︡yn (Ukraine),Niz︠h︡yn (Ukraine),geographic
/subjects/26146,Csenger (Hungary),Csenger (Hungary),geographic
/subjects/36845,Sellye (Hungary),Sellye (Hungary),geographic
/subjects/38508,"Weimar (Thuringia, Germany)","Weimar (Thuringia, Germany)",geographic
/subjects/33344,Oran (Algeria),Oran (Algeria),geographic
/subjects/31379,Concentration camps -- Revolts,Concentration camps;Revolts,topical;topical
/subjects/39749,Jewish ghettos -- Psychological aspects,Jewish ghettos;Psychological aspects,topical;topical
/subjects/26845,Foster mothers,Foster mothers,topical
/subjects/25290,Rape,Rape,topical
/subjects/33714,Senkevychivka (Ukraine),Senkevychivka (Ukraine),geographic
/subjects/28508,Suwałki (Poland),Suwałki (Poland),geographic
/subjects/36516,Prenzlau (Germany),Prenzlau (Germany),geographic
/subjects/39933,Concentration camps -- Poetry,Concentration camps;Poetry,topical;genre_form
/subjects/30211,Gocławek (Poland),Gocławek (Poland),geographic
/subjects/31953,"Proseč (Chrudim, Czech Republic)","Proseč (Chrudim, Czech Republic)",geographic
/subjects/37184,"Bučovice (Jihomoravský kraj, Czech Republic)","Bučovice (Jihomoravský kraj, Czech Republic)",geographic
/subjects/32386,Jews -- Belarus -- Minsk,Jews;Belarus;Minsk,topical;geographic;geographic
/subjects/27887,"Radomyshlʹ (Z︠H︡ytomyrsʹka oblastʹ, Ukraine)","Radomyshlʹ (Z︠H︡ytomyrsʹka oblastʹ, Ukraine)",geographic
/subjects/25443,Lower Saxony (Germany),Lower Saxony (Germany),geographic
/subjects/37887,Barcelonnette (France),Barcelonnette (France),geographic
/subjects/34252,Garmisch-Partenkirchen (Germany),Garmisch-Partenkirchen (Germany),geographic
/subjects/29876,Eschenbach in der Oberpfalz (Germany),Eschenbach in der Oberpfalz (Germany),geographic
/subjects/22369,Educators,Educators,occupation
/subjects/39525,Rattendaal (Belgium),Rattendaal (Belgium),geographic
/subjects/33128,Sekovice (Bosnia and Hercegovina),Sekovice (Bosnia and Hercegovina),geographic
/subjects/33981,Cherni︠a︡khovsk (Russia),Cherni︠a︡khovsk (Russia),geographic
/subjects/27868,Brunoy (France),Brunoy (France),geographic
/subjects/25855,Saint-Vincent (France),Saint-Vincent (France),geographic
/subjects/37491,Mád (Hungary),Mád (Hungary),geographic
/subjects/40406,Rauchenwarth (Austria),Rauchenwarth (Austria),geographic
/subjects/38334,Valras-Plage (France),Valras-Plage (France),geographic
/subjects/32739,Orphanages -- Switzerland,Orphanages;Switzerland,topical;geographic
/subjects/35793,Irún (Spain),Irún (Spain),geographic
/subjects/32406,Stepdaughters,Stepdaughters,topical
/subjects/35639,Sochaczew (Poland),Sochaczew (Poland),geographic
/subjects/33647,Narbonne (France),Narbonne (France),geographic
/subjects/34478,Postwar antisemitism,Postwar antisemitism,topical
/subjects/41578,Lyubashëvo (Belarus),Lyubashëvo (Belarus),geographic
/subjects/25639,Fakenham (England),Fakenham (England),geographic
/subjects/33702,Baranów Sandomierski (Poland),Baranów Sandomierski (Poland),geographic
/subjects/30987,Orphanages -- Poland,Orphanages;Poland,topical;geographic
/subjects/36150,Wasilków (Poland),Wasilków (Poland),geographic
/subjects/31695,Cairo (Egypt),Cairo (Egypt),geographic
/subjects/27741,Gubbio (Italy),Gubbio (Italy),geographic
/subjects/33352,Jews -- Romania -- Gherla,Jews;Romania;Gherla,topical;geographic;geographic
/subjects/26500,Church work with refugees,Church work with refugees,topical
/subjects/23352,Püspökladány (Hungary),Püspökladány (Hungary),geographic
/subjects/35286,Sèvres (France),Sèvres (France),geographic
/subjects/27192,Shatsk (Belarus),Shatsk (Belarus),geographic
/subjects/31046,Litka (Hungary),Litka (Hungary),geographic
/subjects/40806,Jews -- Belarus -- Sharkowshchyna,Jews;Belarus;Sharkowshchyna,topical;geographic;geographic
/subjects/29925,Hussigny-Godbrange (France),Hussigny-Godbrange (France),geographic
/subjects/35906,Clergy,Clergy,topical
/subjects/27038,"Bierstadt (Wiesbaden, Germany)","Bierstadt (Wiesbaden, Germany)",geographic
/subjects/29476,Bytom (Poland),Bytom (Poland),geographic
/subjects/37468,Zdzieszowice (Poland),Zdzieszowice (Poland),geographic
/subjects/31945,Zionism,Zionism,topical
/subjects/23581,Buxy (France),Buxy (France),geographic
/subjects/40105,Libošovice (Czech Republic),Libošovice (Czech Republic),geographic
/subjects/35005,"Białowieża (Województwo Podlaskie, Poland)","Białowieża (Województwo Podlaskie, Poland)",geographic
/subjects/37038,"Mosbach (Baden-Württemberg, Germany)","Mosbach (Baden-Württemberg, Germany)",geographic
/subjects/30207,Anderlecht (Belgium),Anderlecht (Belgium),geographic
/subjects/35510,Šafárikovo (Slovakia),Šafárikovo (Slovakia),geographic
/subjects/29499,Neresnyt︠s︡i︠a︡ (Ukraine),Neresnyt︠s︡i︠a︡ (Ukraine),geographic
/subjects/38772,Mülheim an der Ruhr (Germany),Mülheim an der Ruhr (Germany),geographic
/subjects/24751,"Mikulov (Jihomoravský kraj, Czech Republic)","Mikulov (Jihomoravský kraj, Czech Republic)",geographic
/subjects/23094,Tarnobrzeg (Poland),Tarnobrzeg (Poland),geographic
/subjects/26296,"Chełmno (Województwo Kujawsko-Pomorskie, Poland)","Chełmno (Województwo Kujawsko-Pomorskie, Poland)",geographic
/subjects/33997,Lustadt (Germany),Lustadt (Germany),geographic
/subjects/25510,Keszthely (Hungary),Keszthely (Hungary),geographic
/subjects/41201,"Altdorf (Nürnberger Land, Germany)","Altdorf (Nürnberger Land, Germany)",geographic
/subjects/28322,"Kutuzovo (Krasnoznamenskiĭ raĭon, Russia)","Kutuzovo (Krasnoznamenskiĭ raĭon, Russia)",geographic
/subjects/34301,Family camp (Birkenau),Family camp (Birkenau),topical
/subjects/23997,"Piaski (Lublin, Poland)","Piaski (Lublin, Poland)",geographic
/subjects/40943,Jews -- Hungary -- Budapest,Jews;Hungary;Budapest,topical;geographic;geographic
/subjects/41651,Kisač (Serbia),Kisač (Serbia),geographic
/subjects/35843,Adopted children,Adopted children,topical
/subjects/30895,Jews -- Romania -- Vișeu de Sus,Jews;Romania;Vișeu de Sus,topical;geographic;geographic
/subjects/25394,Wielopole Skrzyńskie (Poland),Wielopole Skrzyńskie (Poland),geographic
/subjects/22451,Sokyrnyt͡si͡a (Ukraine),Sokyrnyt͡si͡a (Ukraine),geographic
/subjects/30196,Auxerre (France),Auxerre (France),geographic
/subjects/37653,"Tempelhof (Berlin, Germany)","Tempelhof (Berlin, Germany)",geographic
/subjects/26412,Vel̕ké Kapušany (Slovakia),Vel̕ké Kapušany (Slovakia),geographic
/subjects/32514,Jews -- Poland -- Stolbt︠s︡y,Jews;Poland;Stolbt︠s︡y,topical;geographic;geographic
/subjects/29708,Poltava (Ukraine),Poltava (Ukraine),geographic
/subjects/26557,"World War, 1939-1945 -- Underground movements -- Denmark","World War, 1939-1945;Underground movements;Denmark",topical;topical;geographic
/subjects/32144,Prachatice (Czech Republic),Prachatice (Czech Republic),geographic
/subjects/30179,Jewish refugees -- Yugoslavia,Jewish refugees;Yugoslavia,topical;geographic
/subjects/37346,Lanaye (Belgium),Lanaye (Belgium),geographic
/subjects/24090,"World War, 1939-1945 -- Governments in exile","World War, 1939-1945;Governments in exile",topical;topical
/subjects/23755,Singen am Hohentwiel (Germany),Singen am Hohentwiel (Germany),geographic
/subjects/26804,"World War, 1939-1945 -- Children","World War, 1939-1945;Children",topical;topical
/subjects/28119,Dobra (Poland),Dobra (Poland),geographic
/subjects/39358,Vyshevichi (Ukraine),Vyshevichi (Ukraine),geographic
/subjects/32847,Spiegelau (Germany),Spiegelau (Germany),geographic
/subjects/34090,Uherský Brod (Czech Republic),Uherský Brod (Czech Republic),geographic
/subjects/31292,Ulanów (Poland),Ulanów (Poland),geographic
/subjects/22144,"Nowy Targ (Województwo Małopolskie, Poland)","Nowy Targ (Województwo Małopolskie, Poland)",geographic
/subjects/30250,"Poole (Dorset, England)","Poole (Dorset, England)",geographic
/subjects/40152,Loudun (France),Loudun (France),geographic
/subjects/32797,Brittany (France),Brittany (France),geographic
